accident,（交通）事故
accident,偶然
pain,痛み、苦痛
pain,苦労、努力
ill,病気で
ill,悪い
die,死ぬ
die,（植物が）枯れる
remind,～に思い出させる
inform,～に知らせる
convince,～に納得させる
warn,～に警告する
suspect,～を疑う
suspect,容疑者
company,会社
company,仲間
project,計画、企画
project,～を予測する
project,～を映写する
career,職業、経歴
clerk,店員
clerk,事務員
document,文書、書類
document,実録作品
envelope,封筒
rob,～を奪う
deprive,（能力・権利など）を奪う
cure,～を治す
cure,治療（法）
cheat,～をだます
cheat,カンニングをする
clear,～を片づける
clear,晴れた
relieve,～を和らげる
relieve,～を安心させる
rid,～を取り除く
act,行動する
act,行為、法律
consume,～を消費する
burn,燃える
continue,続く
gather,集まる
include,～を含む
spend,（お金・時間）を費やす
wake,～を起こす
prevent,～を妨げる
keep,～を保つ
keep,～を妨げる
prohibit,～を禁止する
discourage,～にやる気をなくさせる
personality,個性、性格
shy,恥ずかしがりの
brave,勇敢な
smart,頭のよい
smart,しゃれた
lazy,怠惰な
independent,独立した
serve,（に）仕える
serve,（食事など）を出す
serve,役立つ
provide,～を供給する
provide,備える
supply,～を供給する
supply,供給
central,中心の
central,主要な
shape,形、姿
shape,～を形づくる
surface,表面
surface,表面の
spot,場所
spot,はん点、しみ
thick,厚い
thick,（液体・気体が）濃い
tight,きつい
rough,でこぼこした
rough,荒っぽい
rough,おおよその
dull,鈍い
dull,退屈な
blame,～を非難する
blame,～の責任にする
praise,～を賞賛する
criticize,～を批判する
punish,～を罰する
thank,～に感謝する
alone,ひとりで
liable,～しやすい
liable,責任がある
home,家で
home,十分に、痛烈に
indeed,たしかに
relatively,比較的に
respectively,それぞれに
ever,かつて
badly,ひどく
badly,とても
first,まず最初に
first,（月の）1日
take,～を取る
take,～を持って行く
take,～を必要とする
take,～とみなす
bring,～を持ってくる
bring,～をもたらす
traffic,交通
transportation,輸送機関
path,小道
fuel,燃料
move,動く
move,引っ越す
move,～を感動させる
cross,横切る
cross,十字架
return,戻る
return,返却
turn,回る
turn,曲がる
spread,広がる
hurry,急ぐ
ride,乗る
impression,印象
impression,思い込み
image,イメージ、像
personal,個人的な
private,私用の
individual,個々の
individual,個人
celebrate,～を祝う
nod,うなずく
pardon,～を許す
please,～を喜ばせる
please,どうぞ
worry,心配する
wish,望む
wish,願い
depend,頼る
rely,頼る
minute,分
minute,微小な
moment,瞬間
rapid,速い
brief,短時間の
brief,要約
immediately,ただちに
current,現在の
current,流れ、風潮
instantly,すぐに
repeat,くり返す
whisper,ささやく
pronounce,発音する
excuse,～を許す
excuse,言いわけをする
literature,文学
novel,小説
novel,ざん新な
sentence,文
sentence,判決
sentence,～に判決を下す
content,内容
content,もくじ
author,著者
judge,判断する
judge,裁判官
solve,～を解く
prove,～を証明する
notice,～に気づく
notice,掲示
realize,～に気づく
realize,～を実現する
check,調べる
check,小切手
explain,～を説明する
imagine,～を想像する
adjust,～を調整する
expert,専門家
professor,教授
instruction,指導、指示
survey,～を調査する
survey,調査
grade,成績
grade,学年
major,専攻する
major,多数派の
appeal,訴える
appeal,訴え
communicate,～を伝える
introduce,～を紹介する
introduce,～を導入する
react,反応する
respond,対応する
support,～を支える
treat,～を扱う
treat,～を治療する
treat,もてなす
size,大きさ
fat,脂肪
fat,太った
bare,裸の
advise,～に忠告する
decide,決める
demand,～を要求する
demand,需要
insist,主張する
forbid,～を禁止する
propose,～を提案する
request,要請する
suggest,～を提案する
civilization,文明
race,人種
race,競争
origin,起源
progress,進歩
progress,上達する
event,できごと
adventure,冒険
treasure,宝物
crop,農作物
harvest,収穫
sew,縫う
receive,～を受け取る
bend,曲げる
bend,かがむ
collect,集める
fix,～を修理する
fix,～を固定する
grab,～をつかむ
excellent,優れた
essential,不可欠の
proper,適切な
worth,～の価値がある
severe,厳しい
awful,ひどい
evil,邪悪な
evil,害悪
ugly,みにくい
increase,増える
reduce,～を減らす
lose,～を失う
lose,負ける
produce,～を生産する
produce,農産物
period,期間
period,終止符
former,前の
former,前者
latter,あとの
latter,後者
modern,現代の
ancient,古代の
afterward(s),あとで
tell,話す
tell,～に命じる
say,言う
speak,話す
talk,話す
complete,完全な
complete,～を完成する
ideal,理想的な
complex,複雑な
complex,複合体
general,一般の
plain,明らかな
plain,質素な
available,利用できる
fortunately,幸運にも
borrow,借りる
rent,賃借りする
rent,賃貸料
exchange,交換する
lend,貸す
fashion,流行
fashion,やり方
crowd,群衆
crowd,群がる
avenue,大通り
suburb,郊外
local,地元の
local,各駅停車の
suppose,～と思う
associate,連想する
associate,仲間
regard,みなす
regard,配慮
wonder,～だろうかと思う
wonder,驚き
determine,～を決心する
identify,誰だかわかる
wrap,包む
press,押す
press,報道機関
polish,みがく
pack,詰め込む
pack,荷物
mend,修繕する
hang,掛ける
hang,絞首刑にする
excite,興奮させる
exciting,興奮させる
excited,興奮した
fasten,固定する
fold,折りたたむ
pour,注ぐ
fit,合う
care,気にかける
care,心配、世話
interest,興味を持たせる
interest,利子
interesting,興味深い
interested,興味を持った
satisfy,満足させる
satisfying,満足のいく
satisfied,満足した
tire,疲れさせる
tire,タイヤ
tiring,疲れる
tired,疲れた
occur,起こる
quit,やめる
retire,退職する
settle,解決する
settle,定住する
amaze,びっくりさせる
amazing,びっくりするような
amazed,びっくりした
amuse,おもしろがらせる
amusing,おもしろい
amused,おもしろがって
bore,退屈させる
boring,退屈な
bored,退屈した
religion,宗教
soul,魂、精神
miracle,奇跡
ghost,幽霊
spirit,精神
spirit,霊
annoy,いらいらさせる
annoying,いらいらさせる
annoyed,いらいらした
confuse,混乱させる
confusing,わかりにくい
confused,混乱した
disappoint,失望させる
disappointing,期待外れの
disappointed,失望した
furious,激怒した
glad,うれしい
happy,幸福な
sorry,気の毒で
thankful,感謝して
shock,衝撃を与える
shock,ショック
shocking,ぞっとするような
shocked,衝撃を受けた
surprise,驚かせる
surprising,驚くべき
surprised,驚いて
ocean,海
palm,ヤシ
palm,手のひら
coral,サンゴ
reef,暗礁
cave,洞くつ
advantage,利点
bond,接着（剤）
bond,きずな
identity,身元
impact,影響（力）
impact,衝撃
sight,光景
sight,視力
site,場所
sort,種類
tip,秘訣、こつ
version,型、版
