weather,天気,,,,weather_天気.png
climate,気候,,,,climate_気候.png
temperature,温度,,,,temperature_温度.png
wind,風,,,,wind_風.png
ray,光線,,,,ray_光線.png
view,眺め,,,,view_眺め.png
fine,晴れた,,,,fine_晴れた.png
fine,罰金,,,,fine_罰金.png
calm,穏やかな,,,,calm_穏やかな.png
answer,～に答える,,,,answer_～に答える.png
approach,～に近づく,,,,approach_～に近づく.png
attend,～に出席する,,,,attend_～に出席する.png
discuss,～について話し合う,,,,discuss_～について話し合う.png
enter,～に入る,,,,enter_～に入る.png
plant,植物,,,,plant_植物.png
plant,工場,,,,plant_工場.png
blossom,花,,,,blossom_花.png
bloom,花,,,,bloom_花.png
leaf,葉,,,,leaf_葉.png
fruit,果実,,,,fruit_果実.png
pick,～を摘む,,,,pick_～を摘む.png
grow,成長する,,,,grow_成長する.png
marry,～と結婚する,,,,marry_～と結婚する.png
mention,～に言及する,,,,mention_～に言及する.png
obey,～に従う,,,,obey_～に従う.png
reach,～に到着する,,,,reach_～に到着する.png
resemble,～に似ている,,,,resemble_～に似ている.png
survive,生き残る,,,,survive_生き残る.png
continent,大陸,,,,continent_大陸.png
area,地域,,,,area_地域.png
part,部分,,,,part_部分.png
horizon,地平線,,,,horizon_地平線.png
border,国境,,,,border_国境.png
foreign,外国の,,,,foreign_外国の.png
apologize,謝る,,,,apologize_謝る.png
argue,議論する,,,,argue_議論する.png
complain,不平を言う,,,,complain_不平を言う.png
graduate,卒業する,,,,graduate_卒業する.png
agree,同意する,,,,agree_同意する.png
creature,生き物,,,,creature_生き物.png
tail,しっぽ,,,,tail_しっぽ.png
alive,生きている,,,,alive_生きている.png
bite,噛む,,,,bite_噛む.png
dig,掘る,,,,dig_掘る.png
feel,～を感じる,,,,feel_～を感じる.png
smell,～のにおいがする,,,,smell_～のにおいがする.png
taste,～の味がする,,,,taste_～の味がする.png
seem,～のように思われる,,,,seem_～のように思われる.png
look,見る,,,,look_見る.png
appear,現れる,,,,appear_現れる.png
relationship,関係,,,,relationship_関係.png
