word,correct,,,,
school,学校,,,,
want,ほしい,,,,
time,時間,,,,
year,年,,,,
go,行く,,,,
look,見る,,,,
day,日 / 日中,,,,
say,言う,,,,
man,"男性,人間",,,,
world,世界,,,,
some,いくつかの、いくらかの,,,,
all,すべての,,,,
like,好む / ~のような,,,,
country,国,,,,
very,非常に、とても,,,,
word,単語,,,,
know,知っている,,,,
only,唯一の、ただ･･･だけ,,,,
house,家,,,,
name,名前,,,,
many,数多くの,,,,
just,ちょうど、たった今,,,,
friend,友だち,,,,
mother,母,,,,
family,家族,,,,
make,作る,,,,
get,得る,,,,
end,終わり,,,,
night,夜,,,,
little,小さい、(量が)ほとんどない,,,,
story,物語、話,,,,
out,外へ,,,,
much,多量の,,,,
boy,男の子,,,,
see,見える,,,,
water,水,,,,
come,来る,,,,
number,数,,,,
any,〈否定文で〉少しも / 〈疑問文で〉いくつかの、いくらかの,,,,
group,集団、グループ,,,,
have,持っている,,,,
good,よい・おいしい,,,,
child,子ども,,,,
book,本,,,,
take,取る・連れていく,,,,
room,部屋,,,,
long,長い,,,,
money,お金,,,,
week,週,,,,
call,呼ぶ・電話をかける,,,,
city,都市・市,,,,
right,右の・正しい・権利,,,,
door,ドア・戸,,,,
new,新しい,,,,
ask,たずねる・頼む,,,,
job,仕事,,,,
give,与える,,,,
student,生徒・学生,,,,
area,地域,,,,
work,働く・仕事,,,,
game,試合,,,,
small,小さい,,,,
high,高い,,,,
paper,紙,,,,
find ,見つける、わかる ,,,,
young ,若い ,,,,
letter ,"手紙,文字 ",,,,
picture ,"絵,写真 ",,,,
tree ,木 ,,,,
live ,住む ,,,,
kind ,"親切な,種類 ",,,,
member ,一員 ,,,,
party ,パーティー ,,,,
sound ,"音,~に聞こえる ",,,,
clear ,明らかな、すんだ ,,,,
talk ,話す ,,,,
table ,テーブル ,,,,
window ,窓 ,,,,
easy ,簡単な ,,,,
bed ,ベッド ,,,,
food ,食べ物 ,,,,
great ,偉大な、大きい、すばらしい ,,,,
age ,年齢 ,,,,
help ,助ける ,,,,
change ,"変える、変わる,変化 ",,,,
put ,置く、入れる ,,,,
something ,〈肯定文で〉何か ,,,,
animal ,動物 ,,,,
morning,"朝,午前",,,,
become,になる,,,,
another,もう1つの、もう1人の、もう1つ、もう1人,,,,
class,学級、授業,,,,
air,空気,,,,
feel,感じる,,,,
nothing,何も･･･ない,,,,
dream,夢、夢を見る,,,,
play,遊ぶ、行う、劇,,,,
star,星,,,,
town,町,,,,
start,始める、始まる、出発する、出発、開始,,,,
every,あらゆる,,,,
plan,計画、計画する,,,,
anything,〈否定文で〉何も / 〈疑問文で〉何か / 〈肯定文で〉何でも,,,,
doctor,医者、博士,,,,
wife,妻,,,,
back,後ろへ、背、後部,,,,
son,息子,,,,
love,大好きである、愛,,,,
center,中心,,,,
leave,出発する、置いていく,,,,
few,(数が)ごくわずかの,,,,
test,試験,,,,
now,今,,,,
move,動く、動かす,,,,
road,道路,,,,
everything,何でも,,,,
fire,"火,火事",,,,
keep,保つ、持っている,,,,
parent,親,,,,
shop,店,,,,
also,~もまた,,,,
chance,機会,,,,
woman,女性,,,,
open,開ける、開いている,,,,
hear,聞こえる、聞く,,,,
girl,女の子,,,,
father,父,,,,
street,通り,,,,
never,一度も･･･ない、決して･･･ない,,,,
king,王,,,,
both,両方の、両方,,,,
sea,海,,,,
building,建物,,,,
run,走る,,,,
around,~の周りに、ぐるりと,,,,
study,勉強する、勉強、書斎,,,,
wall,壁,,,,
too,~もまた、あまりにも〜すぎる,,,,
each,それぞれの、めいめい,,,,
hospital,病院,,,,
write,書く,,,,
news,ニュース、知らせ,,,,
walk,歩く、散歩,,,,
brother,兄弟,,,,
stop,止める、止まる,,,,
answer,答える、答え,,,,
close,閉じる、近くの,,,,
husband,夫,,,,
enough,十分な、十分に,,,,
daughter,娘,,,,
anyone,〈否定文で〉だれも / 〈疑問文で〉だれか / 〈肯定文で〉だれでも,,,,
sister,姉妹,,,,
read,読む,,,,
full,いっぱいの,,,,
adult,大人,,,,
nobody,だれも･･･ない,,,,
speak,話す,,,,
uncle,おじ,,,,
wind,風,,,,
aunt,おば,,,,
big,大きい,,,,
stand,立つ、立っている,,,,
heavy,重い,,,,
color,色,,,,
music,音楽,,,,
free,ひまな、自由な、無料の,,,,
art,芸術,,,,
baby,赤ん坊,,,,
sun,太陽,,,,
watch,~を見る、腕時計,,,,
ship,船,,,,
beautiful,美しい,,,,
nurse,看護師,,,,
glass,コップ、ガラス,,,,
ring,輪、指輪、鳴る、鳴らす,,,,
dark,暗い,,,,
bring,持ってくる,,,,
river,川,,,,
television,テレビ,,,,
cold,寒い、冷たい、かぜ,,,,
movie,映画,,,,
box,箱,,,,
stone,石,,,,
fast,速い、速く,,,,
